{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 2, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 3, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 4, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 5, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 5, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 5, 'targetPosition': 11}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 6, 'targetPosition': 11}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 4}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 6}, 17, 1, 2
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 8}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 12}, 17, 0, 3
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 14}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 18}, 5, 0, 15
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 22}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 27}, 16, 0, 4
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 31}, 17, 0, 3
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 8, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 8, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 9, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 9, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 5}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 6}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 18}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 27}, 18, 0, 2
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 31}, 17, 0, 3
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 12, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 12, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 4}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 5}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 18}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 27}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 31}, 7, 0, 13
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 14, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 14, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 15, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 15, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 4}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 14}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 18}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 27}, 16, 0, 4
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 31}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 4}, 14, 0, 6
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 5}, 3, 2, 15
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 14}, 1, 0, 19
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 18}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 18, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 18, 'targetPosition': 4}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 18, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 19, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 19, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 5}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 8}, 13, 1, 6
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 13}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 20, 'targetPosition': 14}, 14, 1, 5
