{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 2, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 2, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 3, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 4, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 5, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 2}, 5, 0, 15
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 3}, 14, 2, 4
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 4}, 18, 1, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 18}, 14, 1, 5
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 19}, 18, 0, 2
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 25}, 18, 0, 2
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 27}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 28}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 31}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 8, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 8, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 9, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 9, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 4}, 13, 0, 7
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 6}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 4}, 17, 0, 3
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 6}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 7}, 7, 0, 13
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 9}, 16, 0, 4
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 14}, 11, 0, 9
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 15}, 12, 0, 8
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 18}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 27}, 19, 0, 1
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 28}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 31}, 7, 0, 13
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 12, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 13, 'targetPosition': 3}, 20, 0, 0
