iteration, target, wins, loses, tie
1 SPY, 9, 18, 2, 0, 0
1 Agents, 9, 20, 0, 0, 0
1 SPY, 5, 14, 6, 0, 0
1 Agents, 5, 15, 5, 0, 0
1 SPY, 7, 9, 11, 0, 0
1 Agents, 7, 17, 3, 0, 0
1 SPY, 12, 20, 0, 0, 0
1 Agents, 12, 17, 3, 0, 0
1 SPY, 10, 19, 1, 0, 0
1 Agents, 10, 14, 6, 0, 0
1 SPY, 8, 16, 4, 0, 0
1 Agents, 8, 19, 0, 0, 1
1 SPY, 13, 16, 4, 0, 0
1 Agents, 13, 20, 0, 0, 0
1 SPY, 11, 17, 3, 0, 0
1 Agents, 11, 19, 1, 0, 0
1 SPY, 9, 19, 1, 0, 0
1 Agents, 9, 19, 1, 0, 0
1 SPY, 5, 17, 3, 0, 0
1 Agents, 5, 14, 6, 0, 0
1 SPY, 7, 11, 9, 0, 0
1 Agents, 7, 19, 1, 0, 0
1 SPY, 12, 15, 5, 0, 0
1 Agents, 12, 19, 1, 0, 0
1 SPY, 10, 16, 4, 0, 0
1 Agents, 10, 18, 2, 0, 0
1 SPY, 8, 16, 4, 0, 0
1 Agents, 8, 19, 0, 0, 1
1 SPY, 13, 19, 1, 0, 0
1 Agents, 13, 18, 1, 0, 1
1 SPY, 11, 12, 8, 0, 0
1 Agents, 11, 17, 3, 0, 0
2 SPY, 9, 19, 1, 0, 0
2 Agents, 9, 20, 0, 0, 0
2 SPY, 5, 20, 0, 0, 0
2 Agents, 5, 19, 1, 0, 0
2 SPY, 7, 14, 6, 0, 0
2 Agents, 7, 17, 1, 0, 2
2 SPY, 12, 19, 1, 0, 0
2 Agents, 12, 14, 6, 0, 0
2 SPY, 10, 18, 2, 0, 0
2 Agents, 10, 19, 1, 0, 0
2 SPY, 8, 19, 1, 0, 0
2 Agents, 8, 20, 0, 0, 0
2 SPY, 13, 17, 3, 0, 0
2 Agents, 13, 20, 0, 0, 0
2 SPY, 11, 19, 1, 0, 0
2 Agents, 11, 12, 8, 0, 0
2 SPY, 9, 16, 4, 0, 0
2 Agents, 9, 19, 1, 0, 0
2 SPY, 5, 16, 4, 0, 0
2 Agents, 5, 16, 4, 0, 0
2 SPY, 7, 14, 6, 0, 0
2 Agents, 7, 15, 3, 0, 2
2 SPY, 12, 12, 8, 0, 0
2 Agents, 12, 10, 9, 0, 1
2 SPY, 10, 19, 1, 0, 0
2 Agents, 10, 14, 6, 0, 0
2 SPY, 8, 18, 2, 0, 0
2 Agents, 8, 20, 0, 0, 0
2 SPY, 13, 15, 5, 0, 0
2 Agents, 13, 19, 1, 0, 0
2 SPY, 11, 20, 0, 0, 0
2 Agents, 11, 20, 0, 0, 0
