************* learning 1*************
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 11}, 15, 5, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 6}, 14, 6, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 3}, 15, 5, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 9}, 3, 17, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 10}, 4, 16, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 5}, 5, 15, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 2}, 2, 18, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 4}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 8}, 6, 14, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 14}, 8, 12, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 31}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 12}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 13}, 15, 5, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 21}, 12, 8, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 18}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 34}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 15}, 0, 20, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 19}, 0, 20, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 27}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 16}, 6, 14, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 17}, 11, 9, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 20}, 9, 11, 0
