{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 2, 'targetPosition': 5}, 4, 14, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 2, 'targetPosition': 7}, 15, 4, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 2, 'targetPosition': 8}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 2, 'targetPosition': 9}, 12, 8, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 2, 'targetPosition': 11}, 19, 1, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 2, 'targetPosition': 13}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 3, 'targetPosition': 5}, 4, 11, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 3, 'targetPosition': 7}, 19, 1, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 3, 'targetPosition': 8}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 3, 'targetPosition': 9}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 3, 'targetPosition': 13}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 3, 'targetPosition': 14}, 15, 1, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 4, 'targetPosition': 8}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 4, 'targetPosition': 9}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 5, 'targetPosition': 7}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 5, 'targetPosition': 8}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 5, 'targetPosition': 9}, 19, 1, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 5, 'targetPosition': 11}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 5, 'targetPosition': 13}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 5, 'targetPosition': 14}, 7, 3, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 6, 'targetPosition': 5}, 0, 19, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 6, 'targetPosition': 7}, 19, 1, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 6, 'targetPosition': 8}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 6, 'targetPosition': 9}, 13, 6, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 6, 'targetPosition': 10}, 13, 5, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 6, 'targetPosition': 11}, 19, 1, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 6, 'targetPosition': 13}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 6, 'targetPosition': 14}, 1, 16, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 5}, 1, 18, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 8}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 9}, 11, 9, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 11}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 12}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 13}, 19, 1, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 14}, 4, 16, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 8, 'targetPosition': 5}, 0, 20, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 8, 'targetPosition': 7}, 10, 10, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 8, 'targetPosition': 9}, 9, 11, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 8, 'targetPosition': 11}, 13, 7, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 8, 'targetPosition': 12}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 8, 'targetPosition': 13}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 9, 'targetPosition': 5}, 10, 9, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 9, 'targetPosition': 7}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 9, 'targetPosition': 8}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 9, 'targetPosition': 11}, 14, 6, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 9, 'targetPosition': 13}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 8}, 6, 14, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 9}, 8, 12, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 11}, 12, 8, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 12}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 13}, 13, 7, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 10, 'targetPosition': 14}, 12, 8, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 7}, 8, 12, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 8}, 13, 7, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 11, 'targetPosition': 9}, 5, 15, 0
